1;40;9;2009;L;20.40;92.00;1016.00;15.00;2.00;19.00;2.62;0
2;40;9;2009;L;26.20;82.00;1015.00;21.00;2.00;28.00;0.03;0
3;40;9;2009;L;25.10;82.00;1015.00;11.00;1.00;18.00;0.97;0
4;40;10;2009;L;30.00;87.00;1015.00;17.00;1.00;28.00;0.10;8
5;40;10;2009;L;31.90;62.00;1016.00;22.00;3.00;38.00;0.10;2
6;40;10;2009;F;32.00;62.00;1016.00;16.00;2.00;24.00;0.00;1
7;40;10;2009;F;31.70;70.00;1016.00;13.00;2.00;21.00;0.00;4
1;41;10;2009;L;31.90;69.00;1016.00;16.00;2.00;21.00;0.00;0
2;41;10;2009;L;32.60;65.00;1017.00;19.00;3.00;26.00;0.00;0
3;41;10;2009;L;31.00;77.00;1016.00;18.00;2.00;24.00;0.00;2
4;41;10;2009;L;32.70;72.00;1014.00;18.00;2.00;28.00;0.03;0
5;41;10;2009;L;30.20;70.00;1016.00;17.00;2.00;26.00;0.00;2
6;41;10;2009;F;31.50;73.00;1017.00;19.00;2.00;28.00;0.00;0
7;41;10;2009;F;29.40;74.00;1018.00;15.00;2.00;21.00;0.00;2
1;42;10;2009;F;30.60;70.00;1017.00;17.00;2.00;26.00;0.00;0
2;42;10;2009;L;25.50;76.00;1018.00;18.00;2.00;26.00;0.05;0
3;42;10;2009;L;28.00;71.00;1017.00;13.00;2.00;23.00;0.00;1
4;42;10;2009;L;27.40;77.00;1014.00;26.00;3.00;43.00;0.03;1
5;42;10;2009;L;19.80;87.00;1020.00;16.00;3.00;24.00;0.53;1
6;42;10;2009;F;26.50;74.00;1019.00;16.00;1.00;23.00;0.00;0
3;43;10;2009;L;30.90;54.00;1013.00;19.00;3.00;30.00;0.66;0
4;43;10;2009;L;25.40;51.00;1012.00;34.00;6.00;56.00;0.36;0
5;43;10;2009;L;26.60;52.00;1017.00;17.00;3.00;32.00;0.00;0
6;43;10;2009;F;31.10;53.00;1018.00;21.00;3.00;32.00;0.00;0
7;43;10;2009;F;30.30;58.00;1016.00;15.00;3.00;24.00;0.00;0
1;44;10;2009;L;27.30;74.00;1016.00;15.00;2.00;24.00;0.00;0
2;44;10;2009;L;27.90;78.00;1018.00;16.00;2.00;24.00;0.00;0
3;44;10;2009;L;25.50;75.00;1020.00;9.00;2.00;15.00;0.00;0
4;44;10;2009;L;30.90;71.00;1019.00;12.00;2.00;19.00;0.00;1
5;44;10;2009;L;33.60;69.00;1019.00;10.00;2.00;17.00;0.00;0
6;44;10;2009;F;26.80;79.00;1023.00;16.00;2.00;23.00;0.00;0
7;44;11;2009;F;27.00;85.00;1022.00;12.00;1.00;18.00;0.00;1
1;45;11;2009;F;28.80;69.00;1014.00;22.00;3.00;32.00;19.38;0
2;45;11;2009;L;28.20;50.00;1014.00;17.00;4.00;28.00;0.00;0
3;45;11;2009;L;26.60;50.00;1008.00;27.00;4.00;45.00;0.00;1
4;45;11;2009;L;20.70;46.00;1012.00;31.00;6.00;52.00;0.00;0
5;45;11;2009;L;21.60;52.00;1014.00;21.00;3.00;38.00;0.00;0
6;45;11;2009;F;28.40;49.00;1014.00;36.00;6.00;60.00;0.05;0
7;45;11;2009;F;20.50;38.00;1013.00;39.00;6.00;55.00;0.00;0
1;46;11;2009;L;19.70;35.00;1014.00;40.00;11.00;72.00;0.53;0
2;46;11;2009;L;21.70;42.00;1017.00;26.00;4.00;41.00;0.00;0
3;46;11;2009;L;24.80;57.00;1013.00;16.00;3.00;21.00;0.00;0
4;46;11;2009;L;26.00;56.00;1015.00;11.00;2.00;17.00;0.00;0
5;46;11;2009;L;24.80;65.00;1017.00;10.00;2.00;13.00;0.00;0
6;46;11;2009;F;25.80;70.00;1017.00;11.00;2.00;17.00;0.00;0
7;46;11;2009;F;28.30;58.00;1017.00;15.00;2.00;24.00;0.00;2
1;47;11;2009;L;29.70;65.00;1016.00;11.00;1.00;18.00;0.00;1
2;47;11;2009;L;25.20;64.00;1016.00;10.00;2.00;13.00;0.00;0
3;47;11;2009;L;25.70;62.00;1020.00;10.00;2.00;17.00;0.00;0
4;47;11;2009;L;21.10;73.00;1022.00;15.00;2.00;21.00;0.00;0
5;47;11;2009;L;22.90;78.00;1026.00;10.00;2.00;18.00;0.00;0
6;47;11;2009;F;21.60;82.00;1027.00;12.00;1.00;19.00;0.00;1
7;47;11;2009;F;25.00;69.00;1027.00;13.00;2.00;23.00;0.00;1
1;48;11;2009;L;22.20;53.00;1029.00;16.00;4.00;28.00;0.00;0
2;48;11;2009;L;22.50;65.00;1027.00;10.00;2.00;17.00;0.00;0
3;48;11;2009;L;20.30;71.00;1022.00;10.00;2.00;13.00;0.00;0
4;48;11;2009;L;24.20;64.00;1021.00;10.00;2.00;18.00;0.00;1
5;48;11;2009;L;21.40;58.00;1019.00;15.00;3.00;23.00;0.00;1
6;48;11;2009;F;19.50;59.00;1021.00;12.00;2.00;21.00;0.00;1
7;48;11;2009;F;13.30;78.00;1014.00;13.00;1.00;24.00;0.15;0
1;49;11;2009;L;15.40;54.00;1014.00;28.00;5.00;43.00;0.03;0
2;49;12;2009;L;16.90;50.00;1019.00;27.00;4.00;43.00;0.00;0
3;49;12;2009;L;21.70;59.00;1018.00;12.00;2.00;17.00;0.00;0
4;49;12;2009;L;18.90;59.00;1017.00;43.00;4.00;58.00;0.10;0
5;49;12;2009;L;20.80;46.00;1019.00;21.00;4.00;34.00;0.00;0
6;49;12;2009;F;19.30;56.00;1019.00;21.00;4.00;32.00;0.00;0
7;49;12;2009;F;21.20;64.00;1019.00;12.00;2.00;19.00;0.00;0
1;50;12;2009;F;19.50;58.00;1018.00;11.00;2.00;18.00;0.00;0
2;50;12;2009;F;21.70;64.00;1021.00;15.00;3.00;23.00;0.00;0
3;50;12;2009;L;21.90;65.00;1025.00;13.00;3.00;21.00;0.00;0
4;50;12;2009;L;18.20;75.00;1026.00;8.00;2.00;13.00;0.00;0
5;50;12;2009;L;20.10;79.00;1023.00;11.00;2.00;18.00;0.00;0
6;50;12;2009;F;18.20;76.00;1014.00;12.00;2.00;17.00;0.00;0
7;50;12;2009;F;15.90;80.00;1007.00;23.00;3.00;37.00;0.61;0
1;51;12;2009;L;9.60;83.00;1003.00;36.00;5.00;53.00;1.93;0
2;51;12;2009;L;9.60;52.00;1012.00;33.00;7.00;52.00;0.03;0
3;51;12;2009;L;12.00;62.00;1012.00;12.00;2.00;19.00;0.00;0
4;51;12;2009;L;21.10;65.00;1009.00;24.00;3.00;39.00;0.00;0
5;51;12;2009;L;12.70;77.00;1009.00;12.00;1.00;17.00;1.30;0
6;51;12;2009;F;8.80;75.00;1010.00;17.00;4.00;26.00;1.22;0
7;51;12;2009;F;10.10;54.00;1016.00;12.00;2.00;19.00;0.00;0
1;52;12;2009;L;12.90;73.00;1012.00;10.00;1.00;13.00;0.00;0
2;52;12;2009;L;18.50;76.00;1001.00;34.00;4.00;58.00;0.48;0
3;52;12;2009;L;23.60;63.00;1002.00;26.00;5.00;41.00;0.00;0
4;52;12;2009;L;20.80;70.00;999.00;32.00;6.00;45.00;0.13;0
5;52;12;2009;F;18.70;65.00;1008.00;19.00;2.00;32.00;1.14;0
6;52;12;2009;F;15.40;89.00;1009.00;22.00;1.00;37.00;0.23;0
7;52;12;2009;F;18.40;62.00;1019.00;31.00;4.00;50.00;0.03;0
1;53;12;2009;L;15.10;81.00;1015.00;13.00;2.00;19.00;0.00;0
2;53;12;2009;L;26.60;73.00;1010.00;17.00;2.00;24.00;0.00;0
3;53;12;2009;L;24.30;70.00;1007.00;26.00;2.00;38.00;0.00;0
4;53;12;2009;L;19.40;62.00;1005.00;36.00;4.00;53.00;0.03;0
5;1;1;2010;F;18.10;62.00;1014.00;24.00;2.00;39.00;0.00;0
6;1;1;2010;F;18.20;65.00;1019.00;11.00;1.00;15.00;0.00;0
7;1;1;2010;F;15.90;76.00;1018.00;11.00;2.00;15.00;0.00;0
1;2;1;2010;L;14.40;86.00;1012.00;12.00;1.00;19.00;0.13;0
